ID,View/Description,Camera/Sensor/Method,Res,DelT
IDR672,Warrego QLD,Mid-scale 267km x 267km Composite,N/A,1.2
IDR673,Warrego QLD,Local-scale 167km x 167km Composite,N/A,1.2
IDR67A,Warrego QLD,Rainfields per 6 minutes,N/A,1.2

IDR681,Bairnsdale VIC,Broad-scale 512km x 512km Composite,N/A,1.2
IDR682,Bairnsdale VIC,Mid-scale 268km x 268km Composite,N/A,1.2
IDR683,Bairnsdale VIC,Local-scale 168km x 168km Composite,N/A,1.2
IDR68A,Bairnsdale VIC,Rainfields per 6 minutes,N/A,1.2
IDR68I,Bairnsdale VIC,Doppler wind velocity,N/A,1.2

IDR691,Namoi (Blackjack Mountain) NSW,Broad-scale 512km x 512km Composite,N/A,1.2
IDR692,Namoi (Blackjack Mountain) NSW,Mid-scale 269km x 269km Composite,N/A,1.2
IDR693,Namoi (Blackjack Mountain) NSW,Local-scale 169km x 169km Composite,N/A,1.2
IDR694,Namoi (Blackjack Mountain) NSW,Local-scale 69km x 69km Composite,N/A,1.2
IDR69I,Namoi (Blackjack Mountain) NSW,Doppler wind velocity,N/A,1.2

IDR701,Perth (Serpentine) WA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR702,Perth (Serpentine) WA,Mid-scale 256km x 256km Composite,N/A,1.2
IDR703,Perth (Serpentine) WA,Local-scale 142km x 142km Composite,N/A,1.2
IDR704,Perth (Serpentine) WA,Local-scale 69km x 69km Composite,N/A,1.2
IDR70A,Perth (Serpentine) WA,Rainfields per 6 minutes,N/A,1.2
IDR70B,Perth (Serpentine) WA,Rainfields per hour,N/A,1.2
IDR70C,Perth (Serpentine) WA,Rainfields since 9am,N/A,10
IDR70D,Perth (Serpentine) WA,Rainfields in 24 hours,N/A,266
IDR70I,Perth (Serpentine) WA,Doppler wind velocity,N/A,1.2

IDR711,Terrey Hills NSW,Broad-scale 512km x 512km Composite,N/A,1.2
IDR712,Terrey Hills NSW,Mid-scale 271km x 271km Composite,N/A,1.2
IDR713,Terrey Hills NSW,Local-scale 171km x 171km Composite,N/A,1.2
IDR714,Terrey Hills NSW,Local-scale 71km x 71km Composite,N/A,1.2
IDR71A,Terrey Hills NSW,Rainfields per 6 minutes,N/A,1.2
IDR71B,Terrey Hills NSW,Rainfields per hour,N/A,1.2
